kind,param,value,seed,success,state,steps,sim_time,path_length,collisions,first_detect_t,reach_t,homing_t,est_err_cm,known_frac,oracle_len,path_eff,victim_x,victim_y,wall_s
baseline,,nan,0,1,reached,467,46.7,25.06779057246871,0,31.5,46.7,15.200000000000003,1.2059593202241532,0.9966666666666667,17.702438661763956,0.686236731236176,14.0,10.5,3.3002378919999273
baseline,,nan,1,1,reached,427,42.7,23.056430205397913,0,28.700000000000003,42.7,14.0,1.3514389698354856,0.9966145833333333,17.702438661763956,0.7461015650955612,14.0,10.5,2.965979858999958
baseline,,nan,2,1,reached,428,42.800000000000004,22.615782500395206,0,29.1,42.800000000000004,13.700000000000003,0.5314984171679701,0.9966666666666667,17.702438661763956,0.7606386673316896,14.0,10.5,3.073153272000013
baseline,,nan,3,1,reached,445,44.5,23.900870266996545,0,30.8,44.5,13.7,2.7719417935151616,0.9966666666666667,17.702438661763956,0.7197411002024432,14.0,10.5,3.1460210420000294
baseline,,nan,4,1,reached,438,43.800000000000004,23.31584480691917,0,30.0,43.800000000000004,13.800000000000004,2.502718646829084,0.9966666666666667,17.702438661763956,0.7378003586925141,14.0,10.5,3.274666529000001
baseline,,nan,5,1,reached,404,40.400000000000006,22.08804045701409,0,26.6,40.400000000000006,13.800000000000004,1.4883832448906125,0.9966666666666667,17.702438661763956,0.7788123484852318,14.0,10.5,2.8174839240000438
baseline,,nan,6,1,reached,419,41.900000000000006,22.834949345150367,0,28.1,41.900000000000006,13.800000000000004,0.6275686931341934,0.9966666666666667,17.702438661763956,0.7533381573021694,14.0,10.5,2.9381764119999616
baseline,,nan,7,1,reached,415,41.5,23.22840510234074,0,27.3,41.5,14.2,2.4708324889589184,0.9966666666666667,17.702438661763956,0.7405776929570793,14.0,10.5,2.9366470460000755
baseline,,nan,8,1,reached,430,43.0,22.63862016704409,0,28.8,43.0,14.2,3.4311308643098157,0.99625,17.702438661763956,0.7598713408693614,14.0,10.5,2.9815205830000195
baseline,,nan,9,1,reached,405,40.5,22.135297641078296,0,26.8,40.5,13.7,3.77172512732388,0.9966666666666667,17.702438661763956,0.7771496431039614,14.0,10.5,2.803483323000023
baseline,,nan,10,1,reached,429,42.900000000000006,23.43071485796034,0,29.1,42.900000000000006,13.800000000000004,4.8645450452988594,0.9966666666666667,17.702438661763956,0.7341832618444251,14.0,10.5,2.997317689000056
baseline,,nan,11,1,reached,430,43.0,23.150610348394853,0,29.200000000000003,43.0,13.799999999999997,0.3933726267752691,0.9966666666666667,17.702438661763956,0.7430663124161082,14.0,10.5,2.9387734889999138
